,tokens,h,t,relation,relation_definition,r_pid,has_relation,relation_prop_wiki,possible_probs
0,"['He', 'was', 'a', 'son', 'of', 'Margrethe', 'Rode', ',', 'and', 'a', 'brother', 'of', 'writer', 'Helge', 'Rode', '.']","['margrethe rode', 'Q13534333', [[5, 6]]]","['helge rode', 'Q2703410', [[13, 14]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q13534333'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2703410'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q13534333'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2703410'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
1,"['Construction', 'of', 'the', 'Condado', 'Vanderbilt', 'began', 'in', '1917', 'by', 'Frederick', 'William', 'Vanderbilt', ',', 'the', 'son', 'of', 'William', 'Henry', 'Vanderbilt', '.']","['william henry vanderbilt', 'Q578647', [[16, 17, 18]]]","['frederick william vanderbilt', 'Q2174105', [[9, 10, 11]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q578647'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2174105'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q578647'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2174105'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
2,"['Pål', 'Erik', 'Ulvestad', 'is', 'the', 'brother', 'of', 'the', 'Burnley', 'player', 'Fredrik', 'and', 'Aalesund', 'player', 'Dan', 'Peter', 'Ulvestad', ',', 'and', 'son', 'of', 'the', 'former', 'footballer', 'Rune', 'Ulvestad', '.']","['rune ulvestad', 'Q3376039', [[24, 25]]]","['pål erik ulvestad', 'Q919662', [[0, 1, 2]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3376039'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q919662'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3376039'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q919662'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
3,"['He', 'was', 'the', 'father', 'of', 'the', 'Catholic', 'politician', 'Denys', 'Cochin', 'and', 'the', 'grandfather', 'of', 'the', 'historian', 'Augustin', 'Cochin', '.']","['denys cochin', 'Q3023401', [[8, 9]]]","['augustin cochin', 'Q568626', [[16, 17]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3023401'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q568626'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3023401'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q568626'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
4,"['In', 'his', 'first', 'game', ',', 'he', 'had', 'played', 'alongside', 'the', 'brothers', 'Tom', 'and', 'Ken', 'Graveney', ';', 'in', 'his', 'last', 'game', 'he', 'played', 'alongside', 'Ken', ""'s"", 'son', 'David', '.']","['ken graveney', 'Q6387701', [[13, 14]]]","['david', 'Q5234328', [[26]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6387701'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5234328'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6387701'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5234328'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
5,"['There', 'is', 'much', 'more', 'information', 'for', 'the', 'life', 'of', 'Acestes', 'than', 'for', 'his', ""'"", 'father', ""'"", ',', 'Crinisus', '.']","['crinisus', 'Q631865', [[17]]]","['acestes', 'Q404275', [[9]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q631865'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q404275'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q631865'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q404275'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
6,"['Ziad', 'Rahbani', 'is', 'the', 'son', 'of', 'the', 'Lebanese', 'famous', 'composer', 'Assi', 'Rahbani', 'and', 'Nouhad', 'Haddad', ',', 'the', 'famous', 'Lebanese', 'female', 'singer', 'known', 'as', 'Fairuz', '.']","['assi rahbani', 'Q2868332', [[10, 11]]]","['ziad rahbani', 'Q3575465', [[0, 1]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2868332'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3575465'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2868332'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3575465'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
7,"['Mukesh', 'is', 'married', 'to', 'Nita', 'Ambani', 'and', 'has', 'two', 'sons', ',', 'Anant', 'and', 'Akash', ',', 'and', 'a', 'daughter', ',', 'Isha', '.']","['nita ambani', 'Q7041178', [[4, 5]]]","['akash', 'Q23772157', [[13]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7041178'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q23772157'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7041178'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q23772157'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
8,"['Justinian', 'II', 'was', 'eldest', 'son', 'of', 'Emperor', 'Constantine', 'IV', 'and', 'Anastasia', '.', 'Kazhdan', ',', 'pg', '.']","['constantine iv', 'Q41605', [[7, 8]]]","['justinian ii', 'Q42021', [[0, 1]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41605'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42021'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41605'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42021'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
9,"['Jim', 'Henson', 'and', 'his', 'son', 'Brian', 'were', 'impressed', 'enough', 'with', 'Barron', ""'s"", 'style', 'to', 'offer', 'him', 'a', 'job', 'directing', 'the', 'pilot', 'episode', 'of', '""', 'The', 'Storyteller', '""', '.']","['jim henson', 'Q191037', [[0, 1]]]","['brian', 'Q2284236', [[5]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q191037'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2284236'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q191037'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2284236'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
