model,input_file,experiment,accuracy,micro_precision,micro_recall,micro_f1
model_Llama-3.1-8B-Instruct,report_head_tail_templates_with.json,AI,0.3845927668332843,0.3845927668332843,0.3845927668332843,0.3845927668332843
model_Llama-3.1-8B-Instruct,report_head_tail_templates_with.json,MT,0.40488091737724197,0.40488091737724197,0.40488091737724197,0.40488091737724197
model_Llama-3.1-8B-Instruct,report_head_tail_templates_with.json,original,0.567480152896207,0.567480152896207,0.567480152896207,0.567480152896207
model_Llama-3.1-8B-Instruct,report_head_tail_templates_without.json,AI,0.1340782122905028,0.1340782122905028,0.1340782122905028,0.1340782122905028
model_Llama-3.1-8B-Instruct,report_head_tail_templates_without.json,MT,0.5583651867097912,0.5583651867097912,0.5583651867097912,0.5583651867097912
model_Llama-3.1-8B-Instruct,report_head_tail_templates_without.json,original,0.4583945898265216,0.4583945898265216,0.4583945898265216,0.4583945898265216
model_Llama-3.1-8B-Instruct,report_tail_head_templates_with.json,AI,0.43898853278447514,0.43898853278447514,0.43898853278447514,0.43898853278447514
model_Llama-3.1-8B-Instruct,report_tail_head_templates_with.json,MT,0.5057336077624228,0.5057336077624228,0.5057336077624228,0.5057336077624228
model_Llama-3.1-8B-Instruct,report_tail_head_templates_with.json,original,0.43987062628638635,0.43987062628638635,0.43987062628638635,0.43987062628638635
model_Llama-3.1-8B-Instruct,report_tail_head_templates_without.json,AI,0.32519847103793004,0.32519847103793004,0.32519847103793004,0.32519847103793004
model_Llama-3.1-8B-Instruct,report_tail_head_templates_without.json,MT,0.4472214054689797,0.4472214054689797,0.4472214054689797,0.4472214054689797
model_Llama-3.1-8B-Instruct,report_tail_head_templates_without.json,original,0.5269038518082917,0.5269038518082917,0.5269038518082917,0.5269038518082917
model_Mistral-7B-Instruct-v0.3,report_head_tail_templates_with.json,AI,0.3225521905321964,0.3225521905321964,0.3225521905321964,0.3225521905321964
model_Mistral-7B-Instruct-v0.3,report_head_tail_templates_with.json,MT,0.3619523669508968,0.3619523669508968,0.3619523669508968,0.3619523669508968
model_Mistral-7B-Instruct-v0.3,report_head_tail_templates_with.json,original,0.31314319317847694,0.31314319317847694,0.31314319317847694,0.31314319317847694
model_Mistral-7B-Instruct-v0.3,report_head_tail_templates_without.json,AI,0.11555424875036754,0.11555424875036754,0.11555424875036754,0.11555424875036754
model_Mistral-7B-Instruct-v0.3,report_head_tail_templates_without.json,MT,0.522199353131432,0.522199353131432,0.522199353131432,0.522199353131432
model_Mistral-7B-Instruct-v0.3,report_head_tail_templates_without.json,original,0.551896501029109,0.551896501029109,0.551896501029109,0.551896501029109
model_Mistral-7B-Instruct-v0.3,report_tail_head_templates_with.json,AI,0.344016465745369,0.344016465745369,0.344016465745369,0.344016465745369
model_Mistral-7B-Instruct-v0.3,report_tail_head_templates_with.json,MT,0.5016171714201706,0.5016171714201706,0.5016171714201706,0.5016171714201706
model_Mistral-7B-Instruct-v0.3,report_tail_head_templates_with.json,original,0.5513084386945016,0.5513084386945016,0.5513084386945016,0.5513084386945016
model_Mistral-7B-Instruct-v0.3,report_tail_head_templates_without.json,AI,0.2637459570714496,0.2637459570714496,0.2637459570714496,0.2637459570714496
model_Mistral-7B-Instruct-v0.3,report_tail_head_templates_without.json,MT,0.3069685386650985,0.3069685386650985,0.3069685386650985,0.3069685386650985
model_Mistral-7B-Instruct-v0.3,report_tail_head_templates_without.json,original,0.34519259041458394,0.34519259041458394,0.34519259041458394,0.34519259041458394
model_Qwen2.5-7B-Instruct,report_head_tail_templates_with.json,AI,0.10761540723316672,0.10761540723316672,0.10761540723316672,0.10761540723316672
model_Qwen2.5-7B-Instruct,report_head_tail_templates_with.json,MT,0.12319905910026463,0.12319905910026463,0.12319905910026463,0.12319905910026463
model_Qwen2.5-7B-Instruct,report_head_tail_templates_with.json,original,0.2940311673037342,0.2940311673037342,0.2940311673037342,0.2940311673037342
model_Qwen2.5-7B-Instruct,report_head_tail_templates_without.json,AI,0.03469567774184063,0.03469567774184063,0.03469567774184063,0.03469567774184063
model_Qwen2.5-7B-Instruct,report_head_tail_templates_without.json,MT,0.13113790061746544,0.13113790061746544,0.13113790061746544,0.13113790061746544
model_Qwen2.5-7B-Instruct,report_head_tail_templates_without.json,original,0.3087327256689209,0.3087327256689209,0.3087327256689209,0.3087327256689209
model_Qwen2.5-7B-Instruct,report_tail_head_templates_with.json,AI,0.24551602469861805,0.24551602469861805,0.24551602469861805,0.24551602469861805
model_Qwen2.5-7B-Instruct,report_tail_head_templates_with.json,MT,0.2987356659805939,0.2987356659805939,0.2987356659805939,0.2987356659805939
model_Qwen2.5-7B-Instruct,report_tail_head_templates_with.json,original,0.4839753013819465,0.4839753013819465,0.4839753013819465,0.4839753013819465
model_Qwen2.5-7B-Instruct,report_tail_head_templates_without.json,AI,0.10673331373125551,0.10673331373125551,0.10673331373125551,0.10673331373125551
model_Qwen2.5-7B-Instruct,report_tail_head_templates_without.json,MT,0.1952366950896795,0.1952366950896795,0.1952366950896795,0.1952366950896795
model_Qwen2.5-7B-Instruct,report_tail_head_templates_without.json,original,0.2916789179653043,0.2916789179653043,0.2916789179653043,0.2916789179653043
model_Qwen3-4B-Instruct-2507,report_head_tail_templates_with.json,AI,0.13966480446927373,0.13966480446927373,0.13966480446927373,0.13966480446927373
model_Qwen3-4B-Instruct-2507,report_head_tail_templates_with.json,MT,0.31020288150543956,0.31020288150543956,0.31020288150543956,0.31020288150543956
model_Qwen3-4B-Instruct-2507,report_head_tail_templates_with.json,original,0.3293149073801823,0.3293149073801823,0.3293149073801823,0.3293149073801823
model_Qwen3-4B-Instruct-2507,report_head_tail_templates_without.json,AI,0.0576301087915319,0.0576301087915319,0.0576301087915319,0.0576301087915319
model_Qwen3-4B-Instruct-2507,report_head_tail_templates_without.json,MT,0.30402822699206117,0.30402822699206117,0.30402822699206117,0.30402822699206117
model_Qwen3-4B-Instruct-2507,report_head_tail_templates_without.json,original,0.36577477212584536,0.36577477212584536,0.36577477212584536,0.36577477212584536
model_Qwen3-4B-Instruct-2507,report_tail_head_templates_with.json,AI,0.17759482505145546,0.17759482505145546,0.17759482505145546,0.17759482505145546
model_Qwen3-4B-Instruct-2507,report_tail_head_templates_with.json,MT,0.2846221699500147,0.2846221699500147,0.2846221699500147,0.2846221699500147
model_Qwen3-4B-Instruct-2507,report_tail_head_templates_with.json,original,0.47456630402822697,0.47456630402822697,0.47456630402822697,0.47456630402822697
model_Qwen3-4B-Instruct-2507,report_tail_head_templates_without.json,AI,0.23522493384298734,0.23522493384298734,0.23522493384298734,0.23522493384298734
model_Qwen3-4B-Instruct-2507,report_tail_head_templates_without.json,MT,0.4184063510732138,0.4184063510732138,0.4184063510732138,0.4184063510732138
model_Qwen3-4B-Instruct-2507,report_tail_head_templates_without.json,original,0.46662746251102616,0.46662746251102616,0.46662746251102616,0.46662746251102616
model_flan-t5-xl,report_head_tail_templates_with.json,AI,0.22669802999117908,0.22669802999117908,0.22669802999117908,0.22669802999117908
model_flan-t5-xl,report_head_tail_templates_with.json,MT,0.5013231402528668,0.5013231402528668,0.5013231402528668,0.5013231402528668
model_flan-t5-xl,report_head_tail_templates_with.json,original,0.42252278741546606,0.42252278741546606,0.42252278741546606,0.42252278741546606
model_flan-t5-xl,report_head_tail_templates_without.json,AI,0.10467509556012937,0.10467509556012937,0.10467509556012937,0.10467509556012937
model_flan-t5-xl,report_head_tail_templates_without.json,MT,0.4119376653925316,0.4119376653925316,0.4119376653925316,0.4119376653925316
model_flan-t5-xl,report_head_tail_templates_without.json,original,0.39076742134666276,0.39076742134666276,0.39076742134666276,0.39076742134666276
model_flan-t5-xl,report_tail_head_templates_with.json,AI,0.3763598941487798,0.3763598941487798,0.3763598941487798,0.3763598941487798
model_flan-t5-xl,report_tail_head_templates_with.json,MT,0.48368127021464274,0.48368127021464274,0.48368127021464274,0.48368127021464274
model_flan-t5-xl,report_tail_head_templates_with.json,original,0.6157012643340194,0.6157012643340194,0.6157012643340194,0.6157012643340194
model_flan-t5-xl,report_tail_head_templates_without.json,AI,0.4184063510732138,0.4184063510732138,0.4184063510732138,0.4184063510732138
model_flan-t5-xl,report_tail_head_templates_without.json,MT,0.547486033519553,0.547486033519553,0.547486033519553,0.547486033519553
model_flan-t5-xl,report_tail_head_templates_without.json,original,0.6030579241399588,0.6030579241399588,0.6030579241399588,0.6030579241399588
